DATE,ATNHPIUS40900Q,ATNHPIUS41884Q,ATNHPIUS41740Q,ATNHPIUS31084Q
2015-01-01,219.3225000000000000,356.7300000000000000,279.5700000000000000,291.0650000000000000
2016-01-01,236.4750000000000000,388.7500000000000000,298.0025000000000000,310.9750000000000000
2017-01-01,257.3875000000000000,406.6600000000000000,319.1150000000000000,332.6925000000000000
2018-01-01,274.6025000000000000,443.2400000000000000,338.0450000000000000,355.0300000000000000
2019-01-01,284.7100000000000000,441.3175000000000000,347.3275000000000000,366.7950000000000000
2020-01-01,299.5725000000000000,429.0275000000000000,364.4600000000000000,382.9275000000000000
